"","OrderTime","Description","Conid","TradeDate","Currency","Buy.Sell","Quantity","TradePrice","Proceeds","ClientId","Fx","SoumisSuisse","SoumisEtr","NonSoumis","cliNbr"
"1","20170113;085012","CAP GEMINI .","29612147",2017-01-13,"EUR","VTE",-244,80.2,19568.8,"U1427234",1.074,0,21017,0,2
"2","20170113;085012","CAP GEMINI .","29612147",2017-01-13,"EUR","ACH",-244,80.2,19568.8,"Interactive Brokers",1.074,0,0,21017,2
"3","20170113;085012","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-01-13,"CHF","VTE",-66,237.6,15681.6,"U1427234",1,15682,0,0,2
"4","20170113;085012","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-01-13,"CHF","ACH",-66,237.6,15681.6,"Interactive Brokers",1,0,0,15682,2
"5","20170113;085013","CARREFOUR SA","29612172",2017-01-13,"EUR","ACH",891,22.425,19980.69,"U1427234",1.074,0,21459,0,2
"6","20170113;085013","CARREFOUR SA","29612172",2017-01-13,"EUR","VTE",891,22.425,19980.69,"Interactive Brokers",1.074,0,0,21459,2
"7","20170113;085240","SHIRE PLC","51538961",2017-01-13,"GBP","ACH",376,46.465,17470.85,"U1427234",1.2293,0,21477,0,2
"8","20170113;085240","SHIRE PLC","51538961",2017-01-13,"GBP","VTE",376,46.465,17470.85,"Interactive Brokers",1.2293,0,0,21477,2
"9","20170113;085919","DBX MSCI WORLD FINANCIALSETF","227264014",2017-01-13,"EUR","ACH",744,15.482,11518.622,"U1427234",1.074,0,12371,0,2
"10","20170113;085919","DBX MSCI WORLD FINANCIALSETF","227264014",2017-01-13,"EUR","VTE",744,15.482,11518.622,"Interactive Brokers",1.074,0,0,12371,2
"11","20170113;094227","TECHNIP SA","1411464",2017-01-13,"EUR","ACH",415,66.68,27672.2,"U1427234",1.074,0,29720,0,2
"12","20170113;094227","TECHNIP SA","1411464",2017-01-13,"EUR","VTE",415,66.68,27672.2,"Interactive Brokers",1.074,0,0,29720,2
"13","20170228;030429","KONINKLIJKE AHOLD DELHAIZE N","240486295",2017-02-28,"EUR","VTE",-141,20.036,2825.076,"U1427234",1.0639,0,3006,0,2
"14","20170228;030429","KONINKLIJKE AHOLD DELHAIZE N","240486295",2017-02-28,"EUR","ACH",-141,20.036,2825.076,"Interactive Brokers",1.0639,0,0,3006,2
"15","20170228;030430","NESTLE SA-REG","52238348",2017-02-28,"CHF","ACH",171,74.35,12713.85,"U1427234",1,12714,0,0,2
"16","20170228;030430","NESTLE SA-REG","52238348",2017-02-28,"CHF","VTE",171,74.35,12713.85,"Interactive Brokers",1,0,0,12714,2
"17","20170228;030431","AIRBUS SE","29612256",2017-02-28,"EUR","VTE",-173,68.355,11825.452,"U1427234",1.0639,0,12581,0,2
"18","20170228;030431","AIRBUS SE","29612256",2017-02-28,"EUR","ACH",-173,68.355,11825.452,"Interactive Brokers",1.0639,0,0,12581,2
"19","20170228;030432","BNP PARIBAS","29612163",2017-02-28,"EUR","ACH",217,54.75,11880.75,"U1427234",1.0639,0,12640,0,2
"20","20170228;030432","BNP PARIBAS","29612163",2017-02-28,"EUR","VTE",217,54.75,11880.75,"Interactive Brokers",1.0639,0,0,12640,2
"21","20170228;030432","CARREFOUR SA","29612172",2017-02-28,"EUR","ACH",358,22.375,8010.25,"U1427234",1.0639,0,8522,0,2
"22","20170228;030432","CARREFOUR SA","29612172",2017-02-28,"EUR","VTE",358,22.375,8010.25,"Interactive Brokers",1.0639,0,0,8522,2
"23","20170228;030432","COMPAGNIE DE SAINT-GOBAIN","29612189",2017-02-28,"EUR","ACH",263,45.555,11980.965,"U1427234",1.0639,0,12747,0,2
"24","20170228;030432","COMPAGNIE DE SAINT-GOBAIN","29612189",2017-02-28,"EUR","VTE",263,45.555,11980.965,"Interactive Brokers",1.0639,0,0,12747,2
"25","20170228;030433","BT GROUP PLC","13672206",2017-02-28,"GBP","VTE",-511,3.268,1669.948,"U1427234",1.2454,0,2080,0,2
"26","20170228;030433","BT GROUP PLC","13672206",2017-02-28,"GBP","ACH",-511,3.268,1669.948,"Interactive Brokers",1.2454,0,0,2080,2
"27","20170228;030434","ADECCO GROUP AG-REG","4636973",2017-02-28,"CHF","ACH",213,71.3,15186.9,"U1427234",1,15187,0,0,2
"28","20170228;030434","ADECCO GROUP AG-REG","4636973",2017-02-28,"CHF","VTE",213,71.3,15186.9,"Interactive Brokers",1,0,0,15187,2
"29","20170228;030435","DASSAULT SYSTEMES SA","2953175",2017-02-28,"EUR","VTE",-52,76.75,3991,"U1427234",1.0639,0,4246,0,2
"30","20170228;030435","DASSAULT SYSTEMES SA","2953175",2017-02-28,"EUR","ACH",-52,76.75,3991,"Interactive Brokers",1.0639,0,0,4246,2
"31","20170228;030435","EIFFAGE","1254491",2017-02-28,"EUR","ACH",178,67.23,11966.94,"U1427234",1.0639,0,12732,0,2
"32","20170228;030435","EIFFAGE","1254491",2017-02-28,"EUR","VTE",178,67.23,11966.94,"Interactive Brokers",1.0639,0,0,12732,2
"33","20170228;030436","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-02-28,"CHF","VTE",-58,244,14152,"U1427234",1,14152,0,0,2
"34","20170228;030436","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-02-28,"CHF","ACH",-58,244,14152,"Interactive Brokers",1,0,0,14152,2
"35","20170228;030437","BP PLC","228891",2017-02-28,"GBP","ACH",2253,4.53,10207.2165,"U1427234",1.2454,0,12712,0,2
"36","20170228;030437","BP PLC","228891",2017-02-28,"GBP","VTE",2253,4.53,10207.2165,"Interactive Brokers",1.2454,0,0,12712,2
"37","20170228;030438","BAYER AG-REG","68598660",2017-02-28,"EUR","ACH",114,103.75,11827.5,"U1427234",1.0639,0,12583,0,2
"38","20170228;030438","BAYER AG-REG","68598660",2017-02-28,"EUR","VTE",114,103.75,11827.5,"Interactive Brokers",1.0639,0,0,12583,2
"39","20170228;030439","SOLVAY SA","228869",2017-02-28,"EUR","ACH",108,110.15,11896.2,"U1427234",1.0639,0,12656,0,2
"40","20170228;030439","SOLVAY SA","228869",2017-02-28,"EUR","VTE",108,110.15,11896.2,"Interactive Brokers",1.0639,0,0,12656,2
"41","20170228;030440","VOLKSWAGEN AG-PREF","14237",2017-02-28,"EUR","ACH",84,140.149,11772.516,"U1427234",1.0639,0,12525,0,2
"42","20170228;030440","VOLKSWAGEN AG-PREF","14237",2017-02-28,"EUR","VTE",84,140.149,11772.516,"Interactive Brokers",1.0639,0,0,12525,2
"43","20170228;030450","SHIRE PLC","51538961",2017-02-28,"GBP","VTE",-376,48.905,18388.28,"U1427234",1.2454,0,22901,0,2
"44","20170228;030450","SHIRE PLC","51538961",2017-02-28,"GBP","ACH",-376,48.905,18388.28,"Interactive Brokers",1.2454,0,0,22901,2
"45","20170228;030504","AXA SA","29612141",2017-02-28,"EUR","VTE",-722,22.04,15912.88,"U1427234",1.0639,0,16930,0,2
"46","20170228;030504","AXA SA","29612141",2017-02-28,"EUR","ACH",-722,22.04,15912.88,"Interactive Brokers",1.0639,0,0,16930,2
"47","20170310;081535","GECINA SA","1411212",2017-03-10,"EUR","ACH",52,115.8,6021.6,"U1427234",1.0791,0,6498,0,2
"48","20170310;081535","GECINA SA","1411212",2017-03-10,"EUR","VTE",52,115.8,6021.6,"Interactive Brokers",1.0791,0,0,6498,2
"49","20170310;081535","UNIBAIL-RODAMCO SE","1411503",2017-03-10,"EUR","ACH",28,214.05,5993.4,"U1427234",1.0791,0,6467,0,2
"50","20170310;081535","UNIBAIL-RODAMCO SE","1411503",2017-03-10,"EUR","VTE",28,214.05,5993.4,"Interactive Brokers",1.0791,0,0,6467,2
"51","20170310;081536","DEUTSCHE WOHNEN AG-BR","40064795",2017-03-10,"EUR","ACH",195,31.055,6055.725,"U1427234",1.0791,0,6535,0,2
"52","20170310;081536","DEUTSCHE WOHNEN AG-BR","40064795",2017-03-10,"EUR","VTE",195,31.055,6055.725,"Interactive Brokers",1.0791,0,0,6535,2
"53","20170310;081625","VONOVIA SE","130946869",2017-03-10,"EUR","ACH",188,32.155,6045.15,"U1427234",1.0791,0,6523,0,2
"54","20170310;081625","VONOVIA SE","130946869",2017-03-10,"EUR","VTE",188,32.155,6045.15,"Interactive Brokers",1.0791,0,0,6523,2
"55","20170310;093341","ABBVIE INC","118089500",2017-03-10,"USD","VTE",-343,65.191,22360.513,"U1427234",1.011,0,22606,0,2
"56","20170310;093341","ABBVIE INC","118089500",2017-03-10,"USD","ACH",-343,65.191,22360.513,"Interactive Brokers",1.011,0,0,22606,2
"57","20170310;093341","AMAZON.COM INC","3691937",2017-03-10,"USD","VTE",-43,855.761,36797.723,"U1427234",1.011,0,37202,0,2
"58","20170310;093341","AMAZON.COM INC","3691937",2017-03-10,"USD","ACH",-43,855.761,36797.723,"Interactive Brokers",1.011,0,0,37202,2
"59","20170310;093341","BAXTER INTERNATIONAL INC.","8111188",2017-03-10,"USD","VTE",-49,52.27,2561.23,"U1427234",1.011,0,2589,0,2
"60","20170310;093341","BAXTER INTERNATIONAL INC.","8111188",2017-03-10,"USD","ACH",-49,52.27,2561.23,"Interactive Brokers",1.011,0,0,2589,2
"61","20170310;093341","GENERAL MILLS INC","7616",2017-03-10,"USD","ACH",40,60.929,2437.16,"U1427234",1.011,0,2464,0,2
"62","20170310;093341","GENERAL MILLS INC","7616",2017-03-10,"USD","VTE",40,60.929,2437.16,"Interactive Brokers",1.011,0,0,2464,2
"63","20170310;093341","GILEAD SCIENCES INC","269753",2017-03-10,"USD","ACH",266,68.249,18154.34,"U1427234",1.011,0,18354,0,2
"64","20170310;093341","GILEAD SCIENCES INC","269753",2017-03-10,"USD","VTE",266,68.249,18154.34,"Interactive Brokers",1.011,0,0,18354,2
"65","20170310;093341","INTEL CORP","270639",2017-03-10,"USD","VTE",-716,36.201,25920.19,"U1427234",1.011,0,26205,0,2
"66","20170310;093341","INTEL CORP","270639",2017-03-10,"USD","ACH",-716,36.201,25920.19,"Interactive Brokers",1.011,0,0,26205,2
"67","20170310;093341","KLA-TENCOR CORP","270957",2017-03-10,"USD","VTE",-356,92.741,33015.64,"U1427234",1.011,0,33379,0,2
"68","20170310;093341","KLA-TENCOR CORP","270957",2017-03-10,"USD","ACH",-356,92.741,33015.64,"Interactive Brokers",1.011,0,0,33379,2
"69","20170310;093341","MERCK & CO INC","70101545",2017-03-10,"USD","VTE",-183,65.901,12059.81,"U1427234",1.011,0,12192,0,2
"70","20170310;093341","MERCK & CO INC","70101545",2017-03-10,"USD","ACH",-183,65.901,12059.81,"Interactive Brokers",1.011,0,0,12192,2
"71","20170310;093341","MICHAEL KORS HOLDINGS LTD","98606948",2017-03-10,"USD","ACH",501,36.763,18418.37,"U1427234",1.011,0,18621,0,2
"72","20170310;093341","MICHAEL KORS HOLDINGS LTD","98606948",2017-03-10,"USD","VTE",501,36.763,18418.37,"Interactive Brokers",1.011,0,0,18621,2
"73","20170310;093341","SPDR S&P 500 ETF TRUST","756733",2017-03-10,"USD","ACH",384,237.86,91338.24,"U1427234",1.011,0,92343,0,2
"74","20170310;093341","SPDR S&P 500 ETF TRUST","756733",2017-03-10,"USD","VTE",384,237.86,91338.24,"Interactive Brokers",1.011,0,0,92343,2
"75","20170310;093347","QUALCOMM INC","273544",2017-03-10,"USD","VTE",-475,58.38,27730.5,"U1427234",1.011,0,28036,0,2
"76","20170310;093347","QUALCOMM INC","273544",2017-03-10,"USD","ACH",-475,58.38,27730.5,"Interactive Brokers",1.011,0,0,28036,2
"77","20170310;093352","SEAGATE TECHNOLOGY","76915240",2017-03-10,"USD","VTE",-1031,47.05,48508.55,"U1427234",1.011,0,49042,0,2
"78","20170310;093352","SEAGATE TECHNOLOGY","76915240",2017-03-10,"USD","ACH",-1031,47.05,48508.55,"Interactive Brokers",1.011,0,0,49042,2
"79","20170310;093409","ENSCO PLC-CL A","107375361",2017-03-10,"USD","ACH",2078,8.72,18119.5,"U1427234",1.011,0,18319,0,2
"80","20170310;093409","ENSCO PLC-CL A","107375361",2017-03-10,"USD","VTE",2078,8.72,18119.5,"Interactive Brokers",1.011,0,0,18319,2
"81","20170524;031047","EASYJET PLC","103665937",2017-05-24,"GBP","VTE",-1227,13.06,16024.62,"U1427234",1.2626,0,20233,0,2
"82","20170524;031047","EASYJET PLC","103665937",2017-05-24,"GBP","ACH",-1227,13.06,16024.62,"Interactive Brokers",1.2626,0,0,20233,2
"83","20170524;031048","ADECCO GROUP AG-REG","4636973",2017-05-24,"CHF","VTE",-167,73.45,12266.15,"U1427234",1,12266,0,0,2
"84","20170524;031048","ADECCO GROUP AG-REG","4636973",2017-05-24,"CHF","ACH",-167,73.45,12266.15,"Interactive Brokers",1,0,0,12266,2
"85","20170524;031049","NESTLE SA-REG","52238348",2017-05-24,"CHF","VTE",-56,82.35,4611.6,"U1427234",1,4612,0,0,2
"86","20170524;031049","NESTLE SA-REG","52238348",2017-05-24,"CHF","ACH",-56,82.35,4611.6,"Interactive Brokers",1,0,0,4612,2
"87","20170524;031050","CARREFOUR SA","29612172",2017-05-24,"EUR","VTE",-491,22.817,11203.147,"U1427234",1.0917,0,12230,0,2
"88","20170524;031050","CARREFOUR SA","29612172",2017-05-24,"EUR","ACH",-491,22.817,11203.147,"Interactive Brokers",1.0917,0,0,12230,2
"89","20170524;031050","KONINKLIJKE AHOLD DELHAIZE N","240486295",2017-05-24,"EUR","VTE",-525,20.133,10569.825,"U1427234",1.0917,0,11539,0,2
"90","20170524;031050","KONINKLIJKE AHOLD DELHAIZE N","240486295",2017-05-24,"EUR","ACH",-525,20.133,10569.825,"Interactive Brokers",1.0917,0,0,11539,2
"91","20170524;031050","SIEMENS AG-REG","14217",2017-05-24,"EUR","ACH",102,126.926,12946.452,"U1427234",1.0917,0,14134,0,2
"92","20170524;031050","SIEMENS AG-REG","14217",2017-05-24,"EUR","VTE",102,126.926,12946.452,"Interactive Brokers",1.0917,0,0,14134,2
"93","20170524;031051","BASF SE","77680640",2017-05-24,"EUR","ACH",202,85.279,17226.358,"U1427234",1.0917,0,18806,0,2
"94","20170524;031051","BASF SE","77680640",2017-05-24,"EUR","VTE",202,85.279,17226.358,"Interactive Brokers",1.0917,0,0,18806,2
"95","20170524;031051","SOLVAY SA","228869",2017-05-24,"EUR","ACH",38,117.926,4481.188,"U1427234",1.0917,0,4892,0,2
"96","20170524;031051","SOLVAY SA","228869",2017-05-24,"EUR","VTE",38,117.926,4481.188,"Interactive Brokers",1.0917,0,0,4892,2
"97","20170524;031051","UNIBAIL-RODAMCO SE","1411503",2017-05-24,"EUR","ACH",28,230.45,6452.6,"U1427234",1.0917,0,7044,0,2
"98","20170524;031051","UNIBAIL-RODAMCO SE","1411503",2017-05-24,"EUR","VTE",28,230.45,6452.6,"Interactive Brokers",1.0917,0,0,7044,2
"99","20170524;031605","ASML HOLDING NV","117589399",2017-05-24,"EUR","ACH",144,119.645,17228.88,"U1427234",1.0917,0,18809,0,2
"100","20170524;031605","ASML HOLDING NV","117589399",2017-05-24,"EUR","VTE",144,119.645,17228.88,"Interactive Brokers",1.0917,0,0,18809,2
"101","20170524;100902","GENERAL MILLS INC","7616",2017-05-24,"USD","ACH",143,56.769,8118.03,"U1427234",0.97311,0,7900,0,2
"102","20170524;100902","GENERAL MILLS INC","7616",2017-05-24,"USD","VTE",143,56.769,8118.03,"Interactive Brokers",0.97311,0,0,7900,2
"103","20170524;100903","CISCO SYSTEMS INC","268084",2017-05-24,"USD","ACH",799,31.61,25256.17,"U1427234",0.97311,0,24577,0,2
"104","20170524;100903","CISCO SYSTEMS INC","268084",2017-05-24,"USD","VTE",799,31.61,25256.17,"Interactive Brokers",0.97311,0,0,24577,2
"105","20170524;100903","PFIZER INC","11031",2017-05-24,"USD","ACH",262,32.148,8422.7318,"U1427234",0.97311,0,8196,0,2
"106","20170524;100903","PFIZER INC","11031",2017-05-24,"USD","VTE",262,32.148,8422.7318,"Interactive Brokers",0.97311,0,0,8196,2
"107","20170524;100904","ELI LILLY & CO","9160",2017-05-24,"USD","ACH",202,78.089,15774.0644,"U1427234",0.97311,0,15350,0,2
"108","20170524;100904","ELI LILLY & CO","9160",2017-05-24,"USD","VTE",202,78.089,15774.0644,"Interactive Brokers",0.97311,0,0,15350,2
"109","20170524;100904","GENERAL ELECTRIC CO","7516",2017-05-24,"USD","ACH",554,28.425,15747.45,"U1427234",0.97311,0,15324,0,2
"110","20170524;100904","GENERAL ELECTRIC CO","7516",2017-05-24,"USD","VTE",554,28.425,15747.45,"Interactive Brokers",0.97311,0,0,15324,2
"111","20170524;100904","GILEAD SCIENCES INC","269753",2017-05-24,"USD","ACH",125,64.52,8064.9712,"U1427234",0.97311,0,7848,0,2
"112","20170524;100904","GILEAD SCIENCES INC","269753",2017-05-24,"USD","VTE",125,64.52,8064.9712,"Interactive Brokers",0.97311,0,0,7848,2
"113","20170524;100905","KLA-TENCOR CORP","270957",2017-05-24,"USD","VTE",-180,103.051,18549.11,"U1427234",0.97311,0,18050,0,2
"114","20170524;100905","KLA-TENCOR CORP","270957",2017-05-24,"USD","ACH",-180,103.051,18549.11,"Interactive Brokers",0.97311,0,0,18050,2
"115","20170524;100905","LAM RESEARCH CORP","271308",2017-05-24,"USD","VTE",-64,153.231,9806.7904,"U1427234",0.97311,0,9543,0,2
"116","20170524;100905","LAM RESEARCH CORP","271308",2017-05-24,"USD","ACH",-64,153.231,9806.7904,"Interactive Brokers",0.97311,0,0,9543,2
"117","20170524;100906","CORNING INC","7655",2017-05-24,"USD","VTE",-536,29.181,15640.99,"U1427234",0.97311,0,15220,0,2
"118","20170524;100906","CORNING INC","7655",2017-05-24,"USD","ACH",-536,29.181,15640.99,"Interactive Brokers",0.97311,0,0,15220,2
"119","20170524;100906","DARDEN RESTAURANTS INC","661440",2017-05-24,"USD","VTE",-189,86.928,16429.38,"U1427234",0.97311,0,15988,0,2
"120","20170524;100906","DARDEN RESTAURANTS INC","661440",2017-05-24,"USD","ACH",-189,86.928,16429.38,"Interactive Brokers",0.97311,0,0,15988,2
"121","20170524;100906","EATON CORP PLC","118017869",2017-05-24,"USD","VTE",-246,77.784,19134.9306,"U1427234",0.97311,0,18620,0,2
"122","20170524;100906","EATON CORP PLC","118017869",2017-05-24,"USD","ACH",-246,77.784,19134.9306,"Interactive Brokers",0.97311,0,0,18620,2
"123","20170524;101315","NOVARTIS AG-REG","1615110",2017-05-24,"CHF","VTE",-119,79.2,9424.8,"U1427234",1,9425,0,0,2
"124","20170524;101315","NOVARTIS AG-REG","1615110",2017-05-24,"CHF","ACH",-119,79.2,9424.8,"Interactive Brokers",1,0,0,9425,2
"125","20170524;101316","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-05-24,"CHF","VTE",-52,267.9,13930.8,"U1427234",1,13931,0,0,2
"126","20170524;101316","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-05-24,"CHF","ACH",-52,267.9,13930.8,"Interactive Brokers",1,0,0,13931,2
"127","20170524;101317","DASSAULT SYSTEMES SA","2953175",2017-05-24,"EUR","VTE",-153,82.18,12573.54,"U1427234",1.0917,0,13727,0,2
"128","20170524;101317","DASSAULT SYSTEMES SA","2953175",2017-05-24,"EUR","ACH",-153,82.18,12573.54,"Interactive Brokers",1.0917,0,0,13727,2
"129","20170524;101331","BT GROUP PLC","13672206",2017-05-24,"GBP","VTE",-2447,3.162,7736.1905,"U1427234",1.2626,0,9768,0,2
"130","20170524;101331","BT GROUP PLC","13672206",2017-05-24,"GBP","ACH",-2447,3.162,7736.1905,"Interactive Brokers",1.2626,0,0,9768,2
"131","20170726;093452","ABBVIE INC","118089500",2017-07-26,"USD","VTE",-78,72.341,5642.6058,"U1427234",0.95077,0,5365,0,2
"132","20170726;093452","ABBVIE INC","118089500",2017-07-26,"USD","ACH",-78,72.341,5642.6058,"Interactive Brokers",0.95077,0,0,5365,2
"133","20170726;093452","BAXTER INTERNATIONAL INC.","8111188",2017-07-26,"USD","VTE",-351,61.321,21523.671,"U1427234",0.95077,0,20464,0,2
"134","20170726;093452","BAXTER INTERNATIONAL INC.","8111188",2017-07-26,"USD","ACH",-351,61.321,21523.671,"Interactive Brokers",0.95077,0,0,20464,2
"135","20170726;093452","CATERPILLAR INC","5437",2017-07-26,"USD","VTE",-196,113.841,22312.8556,"U1427234",0.95077,0,21214,0,2
"136","20170726;093452","CATERPILLAR INC","5437",2017-07-26,"USD","ACH",-196,113.841,22312.8556,"Interactive Brokers",0.95077,0,0,21214,2
"137","20170726;093452","DARDEN RESTAURANTS INC","661440",2017-07-26,"USD","VTE",-182,86.591,15759.562,"U1427234",0.95077,0,14984,0,2
"138","20170726;093452","DARDEN RESTAURANTS INC","661440",2017-07-26,"USD","ACH",-182,86.591,15759.562,"Interactive Brokers",0.95077,0,0,14984,2
"139","20170726;093452","ENSCO PLC-CL A","107375361",2017-07-26,"USD","VTE",-2078,5.571,11575.94,"U1427234",0.95077,0,11006,0,2
